;;"FAST BUDGET"

"Id";"Value";"Currency";"Category";"Account";"Date";"From/To";"Notes";"Value (EUR)"
"27";"-6.95";"EUR";"Ausgleich";"Geldbörse";"1/14/25";"";"In altes Portemonnaie";"-6.95"
"28";"-10.0";"EUR";"Geschenke";"Geldbörse";"1/14/25";"";"Arbeit";"-10.0"
"29";"-10.0";"EUR";"Ausflug";"PayPal";"1/12/25";"";"Fahrtkosten";"-10.0"
"30";"-6.99";"EUR";"Handyvertrag";"DKB VISA Debit";"1/12/25";"";"Handyvertrag";"-6.99"
"31";"-4.99";"EUR";"Handyvertrag";"DKB VISA Debit";"1/12/25";"";"Sim papa";"-4.99"
"32";"-5.0";"EUR";"Ausflug";"Geldbörse";"1/11/25";"";"";"-5.0"
"33";"-9.57";"EUR";"Lebensmittel";"C24 Google Pay";"1/11/25";"";"";"-9.57"
"34";"-4.9";"EUR";"Ausflug";"C24 Google Pay";"1/11/25";"";"Pommes";"-4.9"
"35";"-5.0";"EUR";"Ausflug";"Geldbörse";"1/11/25";"";"Parken Kaffe";"-5.0"
"36";"-17.28";"EUR";"Lebensmittel";"C24 Google Pay";"1/11/25";"";"";"-17.28"
"37";"-367.45";"EUR";"Auto";"DKB VISA Debit";"1/8/25";"";"Versicherung";"-367.45"
"38";"-29.51";"EUR";"Lebensmittel";"C24 Google Pay";"1/8/25";"";"";"-29.51"
"39";"-119.99";"EUR";"Wohnung";"Barclays VISA";"1/7/25";"";"Air fryer";"-119.99"
"40";"-35.0";"EUR";"Einkaufen";"Barclays VISA";"1/5/25";"";"Crazy horse wallet";"-35.0"
"41";"-501.5";"EUR";"Transfer between accounts";"DKB VISA Debit";"1/5/25";"A2PKXG";"";"-501.5"
"42";"501.5";"EUR";"Transfer between accounts";"A2PKXG";"1/5/25";"DKB VISA Debit";"";"501.5"
"43";"-848.0";"EUR";"Miete";"DKB VISA Debit";"1/4/25";"";"";"-848.0"
"44";"10.0";"EUR";"Tanken";"PayPal";"1/3/25";"";"";"10.0"
"45";"-7.69";"EUR";"Lebensmittel";"C24 Google Pay";"1/3/25";"";"";"-7.69"
"46";"-28.61";"EUR";"Lebensmittel";"C24 Google Pay";"1/3/25";"";"";"-28.61"
"47";"690.9";"EUR";"Miete";"DKB VISA Debit";"1/3/25";"";"";"690.9"
"48";"-80.0";"EUR";"Laufende Kosten";"DKB VISA Debit";"1/2/25";"";"Alpenverein";"-80.0"
"49";"-9.99";"EUR";"Internet";"DKB VISA Debit";"1/2/25";"";"Primacom pyur";"-9.99"
"50";"2.47";"EUR";"Zinsen";"C24 Google Pay";"1/1/25";"";"";"2.47"
"51";"21.59";"EUR";"Zinsen";"Sparkonto DKB";"12/31/24";"";"";"21.59"
"52";"-6.5";"EUR";"Eissport";"C24 Google Pay";"12/31/24";"";"";"-6.5"
"53";"-41.93";"EUR";"Technik";"Barclays VISA";"12/31/24";"";"Schlafkopfhöhrer";"-41.93"
"54";"-24.99";"EUR";"Supplements";"Barclays VISA";"12/31/24";"";"Creatine";"-24.99"
"55";"-279.0";"EUR";"Motorrad";"Barclays VISA";"12/31/24";"";"Tcx hero WP Braun 47";"-279.0"
"56";"-35.9";"EUR";"Supplements";"Barclays VISA";"12/31/24";"";"Protein esn schoko";"-35.9"
"57";"379.9";"EUR";"Kleidung";"DKB VISA Debit";"12/31/24";"";"Jim green";"379.9"
"58";"-66.83";"EUR";"Tanken";"C24 Google Pay";"12/30/24";"";"";"-66.83"
"59";"-33.51";"EUR";"Lebensmittel";"C24 Google Pay";"12/30/24";"";"";"-33.51"
"60";"13.5";"EUR";"Netflix";"DKB VISA Debit";"12/30/24";"";"";"13.5"
"61";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"12/30/24";"";"Spotify";"-2.5"
"62";"97.0";"EUR";"Geschenke";"PayPal";"12/29/24";"";"Von Karl zurück";"97.0"
"63";"119.95";"EUR";"Kleidung";"Barclays VISA";"12/28/24";"";"Pullover zurück";"119.95"
"64";"-74.99";"EUR";"Headspace";"PayPal";"12/28/24";"";"Headspace";"-74.99"
"65";"-19.99";"EUR";"Netflix";"DKB VISA Debit";"12/28/24";"";"";"-19.99"
"66";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"12/28/24";"C24 Google Pay";"";"-500.0"
"67";"500.0";"EUR";"Transfer between accounts";"C24 Google Pay";"12/28/24";"DKB VISA Debit";"";"500.0"
"68";"3657.86";"EUR";"Lohn";"DKB VISA Debit";"12/27/24";"";"";"3657.86"
"69";"37.5";"EUR";"Baumarkt";"PayPal";"12/26/24";"";"Douglasien zurück";"37.5"
"70";"80.0";"EUR";"Kleidung";"PayPal";"12/26/24";"";"Skibrille zurück";"80.0"
"71";"-6.99";"EUR";"Kleidung";"PayPal";"12/26/24";"";"Porto zurück";"-6.99"
"72";"-65.0";"EUR";"Boxen";"DKB VISA Debit";"12/26/24";"";"Kickboxen";"-65.0"
"73";"-9.5";"EUR";"Ausgleich";"Geldbörse";"12/22/24";"";"";"-9.5"
"74";"194.12";"EUR";"Kleidung";"Barclays VISA";"12/22/24";"";"Vivobarefoot zurück";"194.12"
"75";"-11.0";"EUR";"Lebensmittel";"Geldbörse";"12/21/24";"";"";"-11.0"
"76";"-13.98";"EUR";"Baumarkt";"Barclays VISA";"12/21/24";"";"Ledernähset";"-13.98"
"77";"-6.5";"EUR";"Eissport";"C24 Google Pay";"12/19/24";"";"";"-6.5"
"78";"-18.07";"EUR";"Baumarkt";"C24 Google Pay";"12/19/24";"";"Öl und schrauben";"-18.07"
"79";"-74.89";"EUR";"Kleidung";"C24 Google Pay";"12/18/24";"";"Pullover 2x";"-74.89"
"80";"-171.9";"EUR";"Kleidung";"Barclays VISA";"12/18/24";"";"Jeans";"-171.9"
"81";"-74.99";"EUR";"Kleidung";"C24 Google Pay";"12/18/24";"";"Nike Jacke";"-74.99"
"82";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"12/18/24";"C24 Google Pay";"";"-500.0"
"83";"500.0";"EUR";"Transfer between accounts";"C24 Google Pay";"12/18/24";"DKB VISA Debit";"";"500.0"
"84";"111.7";"EUR";"Geschenke";"PayPal";"12/18/24";"";"Tickets zurück";"111.7"
"85";"-111.7";"EUR";"Geschenke";"DKB VISA Debit";"12/18/24";"";"Tickets green";"-111.7"
"86";"-104.9";"EUR";"Kleidung";"PayPal";"12/17/24";"";"Skibrille";"-104.9"
"87";"-80.99";"EUR";"PC";"Barclays VISA";"12/17/24";"";"Controller";"-80.99"
"88";"-30.48";"EUR";"Geschenke";"PayPal";"12/17/24";"";"Kalender";"-30.48"
"89";"-13.48";"EUR";"Motorrad";"Barclays VISA";"12/17/24";"";"Adapter kabel";"-13.48"
"90";"-37.5";"EUR";"Baumarkt";"PayPal";"12/17/24";"";"Douglasien";"-37.5"
"91";"-379.9";"EUR";"Kleidung";"DKB VISA Debit";"12/17/24";"";"Jim green";"-379.9"
"92";"-1000.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"12/17/24";"Barclays VISA";"";"-1000.0"
"93";"1000.0";"EUR";"Transfer between accounts";"Barclays VISA";"12/17/24";"DKB VISA Debit";"";"1000.0"
"94";"-175.05";"EUR";"Kleidung";"Barclays VISA";"12/17/24";"";"Tshirts und pullover";"-175.05"
"95";"67.49";"EUR";"Kleidung";"Barclays VISA";"12/16/24";"";"Schuhe zurück";"67.49"
"96";"-149.17";"EUR";"Geschenke";"Barclays VISA";"12/16/24";"";"Socks, Messer, form";"-149.17"
"97";"-148.0";"EUR";"Auto";"DKB VISA Debit";"12/16/24";"";"Steuern";"-148.0"
"98";"-90.0";"EUR";"Strom";"DKB VISA Debit";"12/16/24";"";"";"-90.0"
"99";"-11.0";"EUR";"Ausflug";"Geldbörse";"12/13/24";"";"Weihnachstmarkt";"-11.0"
"100";"-8.95";"EUR";"Lebensmittel";"C24 Google Pay";"12/13/24";"";"";"-8.95"
"101";"33.99";"EUR";"Kleidung";"Barclays VISA";"12/12/24";"";"Schuhe zurück";"33.99"
"102";"-6.99";"EUR";"Handyvertrag";"DKB VISA Debit";"12/12/24";"";"Handyvertrag";"-6.99"
"103";"-4.99";"EUR";"Handyvertrag";"DKB VISA Debit";"12/12/24";"";"Sim papa";"-4.99"
"104";"-20.0";"EUR";"Geschenke";"Geldbörse";"12/11/24";"";"Geburtstag Christian";"-20.0"
"105";"-14.17";"EUR";"Lebensmittel";"C24 Google Pay";"12/10/24";"";"";"-14.17"
"106";"-75.88";"EUR";"Tanken";"C24 Google Pay";"12/10/24";"";"";"-75.88"
"107";"-50.0";"EUR";"Essen Arbeit";"C24 Google Pay";"12/9/24";"";"";"-50.0"
"108";"-35.0";"EUR";"Essen Arbeit";"Geldbörse";"12/9/24";"";"Kaffeekasse";"-35.0"
"109";"-38.97";"EUR";"Geschenke";"Barclays VISA";"12/8/24";"";"Karl und Leonora";"-38.97"
"110";"-6.5";"EUR";"Eissport";"C24 Google Pay";"12/7/24";"";"";"-6.5"
"111";"-501.5";"EUR";"Transfer between accounts";"DKB VISA Debit";"12/5/24";"A2PKXG";"";"-501.5"
"112";"501.5";"EUR";"Transfer between accounts";"A2PKXG";"12/5/24";"DKB VISA Debit";"";"501.5"
"113";"-161.32";"EUR";"Technik";"Barclays VISA";"12/4/24";"";"Blade HQ";"-161.32"
"114";"-155.5";"EUR";"Technik";"PayPal";"12/4/24";"";"NUC";"-155.5"
"115";"-848.0";"EUR";"Miete";"DKB VISA Debit";"12/4/24";"";"";"-848.0"
"116";"690.9";"EUR";"Miete";"DKB VISA Debit";"12/3/24";"";"";"690.9"
"117";"-33.46";"EUR";"Verbrauchsartikel";"Barclays VISA";"12/2/24";"";"Leukoplast";"-33.46"
"118";"-13.16";"EUR";"Lebensmittel";"C24 Google Pay";"12/2/24";"";"";"-13.16"
"119";"96.84";"EUR";"Baumarkt";"PayPal";"12/2/24";"";"";"96.84"
"120";"-9.99";"EUR";"Internet";"DKB VISA Debit";"12/2/24";"";"Primacom pyur";"-9.99"
"121";"-73.3";"EUR";"Motorrad";"Barclays VISA";"12/1/24";"";"Schuhe, tailtidy, gießen, bäume, Drehmoment, poe";"-73.3"
"121";"-454.52";"EUR";"Kleidung";"Barclays VISA";"12/1/24";"";"Schuhe, tailtidy, gießen, bäume, Drehmoment, poe";"-454.52"
"121";"-48.74";"EUR";"Geschenke";"Barclays VISA";"12/1/24";"";"Schuhe, tailtidy, gießen, bäume, Drehmoment, poe";"-48.74"
"121";"-117.69";"EUR";"Baumarkt";"Barclays VISA";"12/1/24";"";"Schuhe, tailtidy, gießen, bäume, Drehmoment, poe";"-117.69"
"122";"-136.85";"EUR";"Geschenke";"PayPal";"12/1/24";"";"Ubiquity bullet g5";"-136.85"
"123";"-1000.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"12/1/24";"Barclays VISA";"";"-1000.0"
"124";"1000.0";"EUR";"Transfer between accounts";"Barclays VISA";"12/1/24";"DKB VISA Debit";"";"1000.0"
"125";"-67.63";"EUR";"Tanken";"C24 Google Pay";"12/1/24";"";"";"-67.63"
"126";"-12.5";"EUR";"Aktivität";"Geldbörse";"11/30/24";"";"Weihnachtsmarkt";"-12.5"
"127";"-96.84";"EUR";"Baumarkt";"C24 Google Pay";"11/30/24";"";"";"-96.84"
"128";"-15.0";"EUR";"Kleidung";"PayPal";"11/30/24";"";"Rücksendung";"-15.0"
"129";"13.5";"EUR";"Netflix";"DKB VISA Debit";"11/30/24";"";"";"13.5"
"130";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"11/30/24";"";"Spotify";"-2.5"
"131";"-10.0";"EUR";"Eissport";"C24 Google Pay";"11/29/24";"";"";"-10.0"
"132";"-10.74";"EUR";"Lebensmittel";"C24 Google Pay";"11/29/24";"";"";"-10.74"
"133";"-19.99";"EUR";"Netflix";"DKB VISA Debit";"11/28/24";"";"";"-19.99"
"134";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"11/28/24";"C24 Google Pay";"";"-500.0"
"135";"500.0";"EUR";"Transfer between accounts";"C24 Google Pay";"11/28/24";"DKB VISA Debit";"";"500.0"
"136";"3731.78";"EUR";"Lohn";"DKB VISA Debit";"11/27/24";"";"";"3731.78"
"137";"-27.86";"EUR";"Wohnung";"Barclays VISA";"11/26/24";"";"Hygrometer, Bluetooth, uhrpins";"-27.86"
"138";"-31.13";"EUR";"Lebensmittel";"C24 Google Pay";"11/26/24";"";"";"-31.13"
"139";"-65.0";"EUR";"Boxen";"DKB VISA Debit";"11/26/24";"";"Kickboxen";"-65.0"
"140";"-44.5";"EUR";"Ausflug";"Geldbörse";"11/25/24";"";"Weihnachtsfeier Abteilung";"-44.5"
"141";"40.0";"EUR";"Baumarkt";"PayPal";"11/24/24";"";"";"40.0"
"142";"-3.0";"EUR";"Lebensmittel";"C24 Google Pay";"11/24/24";"";"Brezel";"-3.0"
"143";"-10.0";"EUR";"Eissport";"C24 Google Pay";"11/24/24";"";"";"-10.0"
"144";"-39.96";"EUR";"Baumarkt";"C24 Google Pay";"11/22/24";"";"";"-39.96"
"145";"-7.0";"EUR";"Eissport";"C24 Google Pay";"11/21/24";"";"";"-7.0"
"146";"-6.5";"EUR";"Eissport";"C24 Google Pay";"11/21/24";"";"";"-6.5"
"147";"-1.78";"EUR";"Lebensmittel";"C24 Google Pay";"11/21/24";"";"";"-1.78"
"148";"-76.69";"EUR";"Tanken";"C24 Google Pay";"11/20/24";"";"";"-76.69"
"149";"-6.5";"EUR";"Eissport";"C24 Google Pay";"11/20/24";"";"";"-6.5"
"150";"-21.18";"EUR";"Restaurant";"C24 Google Pay";"11/18/24";"";"";"-21.18"
"151";"-4.81";"EUR";"Lebensmittel";"C24 Google Pay";"11/18/24";"";"";"-4.81"
"152";"122.0";"EUR";"Kleidung";"PayPal";"11/18/24";"";"Handschuhe zurück";"122.0"
"153";"-48.21";"EUR";"Motorrad";"Barclays VISA";"11/17/24";"";"Öl und Filter";"-48.21"
"154";"-6.5";"EUR";"Eissport";"C24 Google Pay";"11/17/24";"";"";"-6.5"
"155";"-20.0";"EUR";"sonstige Ausgaben";"Geldbörse";"11/16/24";"";"Baumarkt Christoph";"-20.0"
"156";"-90.0";"EUR";"Strom";"DKB VISA Debit";"11/16/24";"";"";"-90.0"
"157";"-10.01";"EUR";"Lebensmittel";"C24 Google Pay";"11/15/24";"";"";"-10.01"
"158";"12.55";"EUR";"Wohnung";"Barclays VISA";"11/15/24";"";"Shelly zurück";"12.55"
"159";"-55.08";"EUR";"GEZ";"DKB VISA Debit";"11/15/24";"";"";"-55.08"
"160";"-16.52";"EUR";"Lebensmittel";"C24 Google Pay";"11/14/24";"";"";"-16.52"
"161";"-75.44";"EUR";"Kleidung";"Barclays VISA";"11/13/24";"";"Barfussschuhe";"-75.44"
"162";"-15.98";"EUR";"Wohnung";"Barclays VISA";"11/13/24";"";"Shelly Und Handschuhe";"-15.98"
"162";"-125.09";"EUR";"Kleidung";"Barclays VISA";"11/13/24";"";"Shelly Und Handschuhe";"-125.09"
"163";"-50.0";"EUR";"Essen Arbeit";"C24 Google Pay";"11/12/24";"";"";"-50.0"
"164";"-6.99";"EUR";"Handyvertrag";"DKB VISA Debit";"11/12/24";"";"Handyvertrag";"-6.99"
"165";"-4.99";"EUR";"Handyvertrag";"DKB VISA Debit";"11/12/24";"";"Sim papa";"-4.99"
"166";"-77.23";"EUR";"Tanken";"C24 Google Pay";"11/10/24";"";"";"-77.23"
"167";"-14.88";"EUR";"Lebensmittel";"C24 Google Pay";"11/9/24";"";"";"-14.88"
"168";"-12.21";"EUR";"Lebensmittel";"C24 Google Pay";"11/8/24";"";"";"-12.21"
"169";"-40.27";"EUR";"Lebensmittel";"C24 Google Pay";"11/7/24";"";"";"-40.27"
"170";"-7.0";"EUR";"Restaurant";"PayPal";"11/5/24";"";"Döner";"-7.0"
"171";"-501.5";"EUR";"Transfer between accounts";"DKB VISA Debit";"11/5/24";"A2PKXG";"";"-501.5"
"172";"501.5";"EUR";"Transfer between accounts";"A2PKXG";"11/5/24";"DKB VISA Debit";"";"501.5"
"173";"-47.82";"EUR";"Lebensmittel";"C24 Google Pay";"11/4/24";"";"";"-47.82"
"174";"47.26";"EUR";"Miete";"DKB VISA Debit";"11/4/24";"";"";"47.26"
"175";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"11/4/24";"Barclays VISA";"";"-500.0"
"176";"500.0";"EUR";"Transfer between accounts";"Barclays VISA";"11/4/24";"DKB VISA Debit";"";"500.0"
"177";"-59.9";"EUR";"Kleidung";"Barclays VISA";"11/4/24";"";"";"-59.9"
"178";"690.9";"EUR";"Miete";"DKB VISA Debit";"11/3/24";"";"";"690.9"
"179";"-9.99";"EUR";"Internet";"DKB VISA Debit";"11/2/24";"";"Primacom pyur";"-9.99"
"180";"13.5";"EUR";"Netflix";"DKB VISA Debit";"10/30/24";"";"";"13.5"
"181";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"10/30/24";"";"Spotify";"-2.5"
"182";"-5.0";"EUR";"Essen Arbeit";"Geldbörse";"10/28/24";"";"Kaffee";"-5.0"
"183";"4.0";"EUR";"Ausgleich";"Geldbörse";"10/28/24";"";"";"4.0"
"184";"-19.99";"EUR";"Netflix";"DKB VISA Debit";"10/28/24";"";"";"-19.99"
"185";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"10/28/24";"C24 Google Pay";"";"-500.0"
"186";"500.0";"EUR";"Transfer between accounts";"C24 Google Pay";"10/28/24";"DKB VISA Debit";"";"500.0"
"187";"2753.16";"EUR";"Lohn";"DKB VISA Debit";"10/27/24";"";"";"2753.16"
"188";"-6.5";"EUR";"Eissport";"C24 Google Pay";"10/26/24";"";"";"-6.5"
"189";"-6.23";"EUR";"Wohnung";"C24 Google Pay";"10/26/24";"";"Wippe";"-6.23"
"190";"-72.47";"EUR";"PC";"Barclays VISA";"10/26/24";"";"Antenne + ssd";"-72.47"
"191";"-385.56";"EUR";"Wohnung";"C24 Google Pay";"10/26/24";"";"Wandpanele";"-385.56"
"192";"-65.0";"EUR";"Boxen";"DKB VISA Debit";"10/26/24";"";"Kickboxen";"-65.0"
"193";"-25.49";"EUR";"Lebensmittel";"C24 Google Pay";"10/25/24";"";"";"-25.49"
"194";"1.0";"EUR";"Ausgleich";"Geldbörse";"10/24/24";"";"";"1.0"
"195";"-72.9";"EUR";"Tanken";"C24 Google Pay";"10/24/24";"";"";"-72.9"
"196";"-34.77";"EUR";"Lebensmittel";"Barclays VISA";"10/24/24";"";"Matcha und vanille";"-34.77"
"197";"-44.9";"EUR";"Baumarkt";"PayPal";"10/23/24";"";"Quercus rubras";"-44.9"
"198";"-20.07";"EUR";"Lebensmittel";"C24 Google Pay";"10/23/24";"";"";"-20.07"
"199";"-515.87";"EUR";"PC";"Barclays VISA";"10/22/24";"";"Pc Versuch 2";"-515.87"
"200";"-10.0";"EUR";"Geschenke";"Geldbörse";"10/22/24";"";"Reini";"-10.0"
"201";"-4.0";"EUR";"Ausflug";"Geldbörse";"10/20/24";"";"Parken";"-4.0"
"202";"-17.48";"EUR";"Motorrad";"C24 Google Pay";"10/20/24";"";"";"-17.48"
"203";"-55.95";"EUR";"Wohnung";"C24 Google Pay";"10/19/24";"";"Unterbett Kisten";"-55.95"
"204";"-15.0";"EUR";"Restaurant";"Geldbörse";"10/19/24";"";"Döner";"-15.0"
"205";"-17.71";"EUR";"Lebensmittel";"C24 Google Pay";"10/18/24";"";"";"-17.71"
"206";"-50.0";"EUR";"Essen Arbeit";"C24 Google Pay";"10/18/24";"";"";"-50.0"
"207";"-15.32";"EUR";"Lebensmittel";"C24 Google Pay";"10/17/24";"";"";"-15.32"
"208";"-16.86";"EUR";"Wohnung";"Barclays VISA";"10/17/24";"";"Lampe";"-16.86"
"209";"-5.0";"EUR";"Ausflug";"Geldbörse";"10/16/24";"";"Parken";"-5.0"
"210";"-40.0";"EUR";"Kleidung";"Geldbörse";"10/16/24";"";"Shirt";"-40.0"
"211";"-5.0";"EUR";"Ausflug";"Geldbörse";"10/16/24";"";"Bier";"-5.0"
"212";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"10/16/24";"Barclays VISA";"";"-500.0"
"213";"500.0";"EUR";"Transfer between accounts";"Barclays VISA";"10/16/24";"DKB VISA Debit";"";"500.0"
"214";"15.98";"EUR";"Sport";"Barclays VISA";"10/16/24";"";"Rückgabe";"15.98"
"215";"-90.0";"EUR";"Strom";"DKB VISA Debit";"10/16/24";"";"";"-90.0"
"216";"-5.0";"EUR";"Lebensmittel";"Geldbörse";"10/15/24";"";"Döner";"-5.0"
"217";"-10.78";"EUR";"Sport";"C24 Google Pay";"10/12/24";"";"Flasche";"-10.78"
"218";"-883.75";"EUR";"Miete";"DKB VISA Debit";"10/12/24";"";"An Luise Ausgleich";"-883.75"
"219";"0.38";"EUR";"Zinsen";"C24 Google Pay";"10/12/24";"";"";"0.38"
"220";"-13.23";"EUR";"Ausgleich";"Geldbörse";"10/12/24";"";"JW Ausgleich";"-13.23"
"221";"-6.99";"EUR";"Handyvertrag";"DKB VISA Debit";"10/12/24";"";"Handyvertrag";"-6.99"
"222";"-4.99";"EUR";"Handyvertrag";"DKB VISA Debit";"10/12/24";"";"Sim papa";"-4.99"
"223";"-19.07";"EUR";"Lebensmittel";"C24 Google Pay";"10/11/24";"";"";"-19.07"
"224";"-11.98";"EUR";"Sport";"Barclays VISA";"10/11/24";"";"GoPro Verlängerung";"-11.98"
"225";"-7.0";"EUR";"Eissport";"Geldbörse";"10/11/24";"";"";"-7.0"
"226";"353.45";"EUR";"Eissport";"PayPal";"10/11/24";"";"";"353.45"
"227";"-1.19";"EUR";"Lebensmittel";"DKB VISA Debit";"10/10/24";"";"";"-1.19"
"228";"-1.0";"EUR";"sonstige Ausgaben";"Geldbörse";"10/10/24";"";"Raststätte";"-1.0"
"229";"-98.0";"EUR";"OPVN";"DKB VISA Debit";"10/10/24";"";"2x Deutschland Ticket";"-98.0"
"230";"-50.54";"EUR";"Lebensmittel";"C24 Google Pay";"10/9/24";"";"";"-50.54"
"231";"-15.98";"EUR";"Sport";"Barclays VISA";"10/9/24";"";"Verlängerung";"-15.98"
"232";"-6.3";"EUR";"Ausflug";"Geldbörse";"10/8/24";"";"JW bus";"-6.3"
"233";"-6.0";"EUR";"Ausflug";"DKB VISA Debit";"10/8/24";"";"JW einkaufen";"-6.0"
"234";"-13.37";"EUR";"Ausflug";"DKB VISA Debit";"10/7/24";"";"JW einkaufen";"-13.37"
"235";"-11.0";"EUR";"Ausflug";"PayPal";"10/7/24";"";"JW Fensterplatz";"-11.0"
"236";"-4.5";"EUR";"Ausflug";"Geldbörse";"10/7/24";"";"JW patatas y bombón";"-4.5"
"237";"-56.36";"EUR";"Sport";"Barclays VISA";"10/6/24";"";"Lampe und Halterung quadlock";"-56.36"
"238";"-12.0";"EUR";"Kultur";"Barclays VISA";"10/6/24";"";"Book Lou";"-12.0"
"239";"-8.1";"EUR";"Ausflug";"Geldbörse";"10/6/24";"";"JW Cheesecake";"-8.1"
"240";"-20.0";"EUR";"Ausflug";"Geldbörse";"10/6/24";"";"JW Unterkunft";"-20.0"
"241";"-6.35";"EUR";"Ausflug";"Geldbörse";"10/6/24";"";"JW Snacks";"-6.35"
"242";"-0.55";"EUR";"Ausflug";"Geldbörse";"10/6/24";"";"JW Gondel";"-0.55"
"243";"-1.1";"EUR";"Ausflug";"Geldbörse";"10/6/24";"";"JW Gondel";"-1.1"
"244";"-1.65";"EUR";"Ausflug";"Geldbörse";"10/6/24";"";"JW snacks";"-1.65"
"245";"-2.7";"EUR";"Ausflug";"DKB VISA Debit";"10/6/24";"";"JW Fee";"-2.7"
"246";"-50.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"10/6/24";"Geldbörse";"";"-50.0"
"247";"50.0";"EUR";"Transfer between accounts";"Geldbörse";"10/6/24";"DKB VISA Debit";"";"50.0"
"248";"-4.45";"EUR";"Lebensmittel";"Geldbörse";"10/5/24";"";"JW Bäcker";"-4.45"
"249";"-30.69";"EUR";"Ausflug";"DKB VISA Debit";"10/5/24";"";"JW Unterkunft";"-30.69"
"250";"-6.0";"EUR";"Ausflug";"Geldbörse";"10/5/24";"";"JW Bocadillo und Musik";"-6.0"
"251";"-501.5";"EUR";"Transfer between accounts";"DKB VISA Debit";"10/5/24";"A2PKXG";"";"-501.5"
"252";"501.5";"EUR";"Transfer between accounts";"A2PKXG";"10/5/24";"DKB VISA Debit";"";"501.5"
"253";"-32.0";"EUR";"Ausflug";"Geldbörse";"10/4/24";"";"JW Albergue";"-32.0"
"254";"-2.38";"EUR";"Ausflug";"DKB VISA Debit";"10/4/24";"";"JW";"-2.38"
"255";"-20.0";"EUR";"Ausflug";"Geldbörse";"10/4/24";"";"JW Mittagessen";"-20.0"
